fromAccountNumber,toAccountNumber,transferAmount
1000226,1000070,6953
1000121,2002857,7855
1000063,2002858,9126
1000193,2002859,8761
1000023,2002860,9689
1000072,2002861,1676
1000008,2002862,4292
1000040,1000079,5918
1000113,2002864,6223
1000196,2002865,9880
1000049,1000164,7988
1000154,1000184,2916
1000045,1000016,8050
1000019,2002869,7612
1000134,2002870,4686
1000104,1000222,3811
1000091,1000221,4547
1000237,2002873,6537
1000039,1000168,444
1000181,1000133,6574
1000092,1000171,1303
1000173,2002877,5909
1000229,2002878,5426
1000122,1000068,5044
1000081,2002880,7177
1000004,1000011,4652
1000024,2002882,1394
1000219,2002883,1145
1000158,2002884,1693
1000227,1000119,8647
1000192,2002886,8771
1000181,1000202,8478
1000145,2002888,5169
1000141,2002889,6050
1000212,2002890,4404
1000142,2002891,8905
1000111,2002892,6149
1000001,2002893,1856
1000071,1000088,8609
1000162,2002895,1378
1000179,2002896,5494
1000172,1000101,8910
1000133,2002898,5935
1000021,2002899,9866
1000156,2002900,115
1000162,1000055,8482
1000226,1000125,453
1000151,2002903,3003
1000156,2002904,6945
1000004,2002905,5269
1000134,2002906,9454
1000019,2002907,7736
1000104,1000029,1686
1000149,1000087,8828
1000081,1000155,3193
1000032,2002911,9209
1000094,2002912,7830
1000051,2002913,9509
1000064,2002914,7952
1000160,2002915,6909
1000140,1000041,6300
1000120,1000173,723
1000046,2002918,3991
1000014,1000069,6278
1000243,2002920,7473
1000183,1000173,4334
1000223,1000243,260
1000145,2002923,1573
1000050,2002924,2569
1000235,2002925,6705
1000201,1000187,4652
1000052,1000069,8028
1000159,1000065,677
1000189,2002929,409
1000065,1000221,2857
1000029,2002931,5058
1000110,2002932,7971
1000157,1000123,9053
1000196,2002934,4088
1000057,1000096,4495
1000144,2002936,9939
1000034,1000097,2168
1000076,1000101,5973
1000172,2002939,8053
1000220,1000227,6871
1000197,1000153,5434
1000102,1000034,7583
1000153,2002943,3043
1000016,1000074,8231
1000048,1000088,5707
1000190,2002946,7406
1000084,1000187,8237
1000246,2002948,4370
1000167,2002949,5252
1000209,1000083,5352
1000183,2002951,9569
1000177,1000058,1777
1000249,2002953,5155
1000169,1000003,7997
1000071,1000123,9859
1000146,2002956,6600
1000143,1000048,4536
1000025,1000096,3875
1000080,2002959,9299
1000060,1000108,3361
1000241,1000179,8252
1000045,1000247,1613
1000210,1000065,1533
1000011,1000147,9115
1000160,2002965,497
1000077,1000029,3312
1000175,2002967,4286
1000088,2002968,8977
1000052,2002969,1543
1000001,2002970,5625
1000235,1000152,2410
1000085,1000063,2653
1000173,1000071,4707
1000220,1000140,6704
1000091,2002975,1035
1000214,1000124,2905
1000026,2002977,8283
1000078,2002978,861
1000187,1000035,9797
1000124,2002980,2760
1000228,2002981,2463
1000012,1000073,8816
1000150,1000084,9297
1000143,1000232,3751
1000222,1000004,8048
1000042,1000099,3868
1000025,2002987,5751
1000056,1000008,2426
1000144,1000060,5901
1000241,2002990,2368
1000055,1000004,4651
1000088,2002992,370
1000197,2002993,4329
1000130,1000056,2892
1000135,1000176,7333
1000028,1000040,3831
1000137,2002997,9564
1000214,1000058,240
1000100,1000242,8717
1000156,2003000,2157
1000148,1000134,7149
1000182,2003002,3518
1000018,2003003,1427
1000026,1000198,9577
1000031,1000078,7405
1000190,2003006,7037
1000033,2003007,2327
1000032,1000116,4521
1000072,2003009,2428
1000062,1000074,1621
1000093,2003011,8118
1000067,2003012,7813
1000220,1000129,4739
1000086,1000010,2275
1000202,2003015,6038
1000179,1000197,8621
1000120,1000183,728
1000095,2003018,6335
1000185,1000050,5113
1000235,2003020,8621
1000109,1000152,2694
1000049,2003022,7136
1000123,2003023,1131
1000121,2003024,930
1000234,2003025,8309
1000047,2003026,6944
1000250,1000079,1037
1000067,2003028,1472
1000039,1000120,7326
1000032,1000163,8233
1000030,1000009,9831
1000067,2003032,6085
1000190,2003033,6372
1000079,1000050,8484
1000053,2003035,1236
1000027,1000003,4886
1000136,2003037,2909
1000121,1000066,7734
1000113,2003039,8166
1000009,2003040,7530
1000167,2003041,2767
1000225,2003042,7915
1000051,1000227,9749
1000022,1000073,6177
1000216,1000205,8242
1000020,1000203,2630
1000089,2003047,6480
1000187,1000090,9800
1000108,2003049,8553
1000225,1000056,2815
1000020,2003051,2664
1000196,1000237,8935
1000237,1000078,8308
1000189,2003054,3388
1000164,1000204,1971
1000087,2003056,6266
1000198,1000043,5837
1000232,2003058,4365
1000098,2003059,9619
1000040,1000193,7326
1000075,2003061,7818
1000191,2003062,1896
1000156,1000075,7788
1000134,1000021,5821
1000084,2003065,3964
1000239,2003066,7954
1000210,1000003,590
1000119,2003068,6337
1000067,1000001,9427
1000137,1000211,3068
1000110,1000242,1289
1000067,1000193,2453
1000125,2003073,5723
1000103,2003074,7051
1000105,1000185,9725
1000134,2003076,3643
1000237,2003077,2232
1000131,2003078,5760
1000143,2003079,6883
1000157,1000117,2762
1000231,1000037,7918
1000222,2003082,7320
1000077,1000073,5417
1000031,1000212,3520
1000070,1000181,2597
1000106,2003086,4245
1000207,2003087,9531
1000040,1000175,5158
1000087,2003089,8371
1000068,1000091,3967
1000201,1000077,7303
1000150,2003092,8313
1000168,1000103,7671
1000060,2003094,3056
1000022,2003095,6234
1000183,1000050,6683
1000174,2003097,9363
1000006,2003098,7857
1000232,1000140,2353
1000054,1000030,2250
1000059,1000076,4441
1000177,1000006,7080
1000158,2003103,6951
1000063,1000047,1536
1000181,2003105,7379
1000039,1000250,2627
1000054,2003107,472
1000126,1000053,8425
1000100,2003109,7464
1000071,1000098,1595
1000013,2003111,6376
1000011,2003112,2517
1000223,2003113,9182
1000138,2003114,8121
1000076,2003115,4022
1000023,1000045,3238
1000039,1000180,3668
1000123,2003118,1507
1000210,2003119,9823
1000105,1000147,5703
1000205,1000168,9274
1000198,1000127,5785
1000032,1000192,2031
1000186,1000216,3637
1000178,2003125,8356
1000053,2003126,3375
1000177,1000224,3954
1000117,2003128,9837
1000189,1000050,6366
1000202,2003130,9795
1000200,1000232,4726
1000003,1000099,537
1000188,2003133,9301
1000072,1000237,2926
1000044,1000219,9673
1000022,1000243,3272
1000080,1000173,4939
1000125,1000014,7873
1000240,2003139,1667
1000128,1000030,3878
1000168,1000193,8628
1000106,1000085,8830
1000037,1000233,1927
1000196,2003144,427
1000083,2003145,9367
1000188,1000101,1763
1000109,2003147,1038
1000020,2003148,7604
1000092,2003149,5690
1000012,1000134,3468
1000048,1000034,4396
1000149,2003152,6934
1000053,2003153,4644
1000042,1000054,7418
1000078,2003155,8365
1000244,2003156,6156
1000205,2003157,5069
1000144,1000223,1908
1000014,2003159,5440
1000101,2003160,8210
1000003,2003161,7445
1000048,2003162,3801
1000014,2003163,7751
1000174,1000061,2544
1000056,1000152,5122
1000002,2003166,1991
1000051,2003167,5036
1000154,1000220,9476
1000168,2003169,8048
1000113,2003170,9072
1000120,2003171,5857
1000106,1000248,6556
1000219,1000199,6568
1000054,2003174,8552
1000184,1000069,6981
1000167,2003176,1351
1000205,2003177,7472
1000215,1000070,9069
1000139,1000199,1325
1000137,1000228,6343
1000095,1000159,5875
1000063,1000192,340
1000245,2003183,8268
1000056,2003184,7923
1000213,2003185,3499
1000244,1000082,849
1000005,1000010,9194
1000224,2003188,2976
1000125,2003189,1822
1000129,2003190,1000
1000065,2003191,5490
1000110,2003192,7868
1000157,1000212,183
1000173,1000121,2702
1000058,1000244,6454
1000238,2003196,9817
1000161,2003197,3124
1000062,1000038,2144
1000150,1000085,2396
1000087,2003200,8254
1000209,2003201,3324
1000206,1000200,1606
1000091,1000008,8211
1000166,1000223,5132
1000059,1000188,8581
1000215,1000244,9412
1000232,2003207,6693
1000053,1000053,9954
1000111,1000098,6784
1000115,1000023,3002
1000147,2003211,2590
1000242,1000034,7107
1000083,1000132,8590
1000047,1000100,5305
1000173,2003215,4607
1000136,1000076,3717
1000195,2003217,7153
1000119,1000234,7981
1000124,1000207,5565
1000214,1000119,3997
1000081,2003221,3646
1000171,1000206,7135
1000118,1000190,2309
1000091,2003224,8501
1000230,2003225,6838
1000068,1000109,5837
1000006,2003227,893
1000217,1000248,1382
1000032,1000108,1672
1000148,1000165,7296
1000062,2003231,2887
1000131,1000141,8818
1000115,1000194,9300
1000070,2003234,9165
1000236,1000209,6275
1000022,2003236,5985
1000026,1000126,6988
1000060,2003238,5132
1000057,2003239,444
1000067,2003240,9878
1000028,1000064,3457
1000011,1000219,600
1000127,1000157,4298
1000130,2003244,8108
1000167,2003245,5901
1000180,1000104,326
1000101,1000067,5760
1000157,2003248,7517
1000248,2003249,4894
1000105,1000132,8941
1000019,2003251,8100
1000125,1000002,1244
1000237,2003253,2558
1000027,2003254,1820
1000015,1000103,2353
1000235,2003256,5162
1000225,1000108,4364
1000148,1000163,9708
1000018,2003259,2691
1000099,1000219,5485
1000169,2003261,6829
1000225,2003262,2389
1000162,1000021,6563
1000161,1000127,3420
1000016,1000112,3072
1000054,1000021,686
1000090,2003267,3750
1000151,1000202,5771
1000025,2003269,1660
1000210,2003270,1092
1000028,1000201,1388
1000070,1000054,6360
1000249,2003273,9751
1000020,2003274,704
1000080,1000137,1541
1000142,2003276,849
1000149,1000243,4098
1000166,1000090,3575
1000040,1000041,1948
1000066,1000012,6402
1000218,1000020,9653
1000194,2003282,2311
1000198,1000245,5205
1000126,1000150,8258
1000011,1000193,1106
1000240,1000169,349
1000107,1000045,4235
1000015,1000012,8114
1000198,2003289,365
1000009,1000151,1304
1000188,1000018,1115
1000245,1000059,4147
1000153,1000107,711
1000202,2003294,2196
1000088,1000046,2620
1000035,2003296,1885
1000175,2003297,1516
1000153,2003298,5781
1000170,2003299,1497
1000132,2003300,5446
1000008,2003301,2914
1000147,1000187,8115
1000166,2003303,264
1000132,1000053,7439
1000030,1000147,8090
1000030,2003306,3999
1000077,2003307,5587
1000129,2003308,4506
1000166,2003309,2499
1000072,2003310,3604
1000117,2003311,7038
1000019,2003312,6913
1000162,2003313,5724
1000246,1000110,5338
1000136,2003315,5519
1000012,2003316,7538
1000178,2003317,1307
1000187,2003318,1754
1000214,2003319,1832
1000048,1000177,2590
1000005,1000102,7329
1000147,2003322,4044
1000047,2003323,7289
1000062,1000197,3118
1000137,1000077,8717
1000141,1000029,8807
1000161,2003327,5210
1000026,1000057,1631
1000054,2003329,3817
1000248,1000101,7358
1000185,1000161,1907
1000186,1000020,2450
1000013,1000109,7553
1000246,1000204,6902
1000031,2003335,484
1000009,1000018,2552
1000191,2003337,8505
1000055,2003338,4861
1000070,2003339,2251
1000134,1000213,4279
1000092,1000191,1104
1000046,1000177,9676
1000236,2003343,571
1000084,2003344,1475
1000141,1000168,9968
1000191,1000215,6524
1000058,2003347,120
1000159,1000112,6259
1000152,1000125,9654
1000078,2003350,320
1000081,2003351,2797
1000123,2003352,980
1000013,1000204,9335
1000214,2003354,6672
1000237,1000238,1497
1000053,2003356,4044
1000192,2003357,6496
1000068,1000010,5976
1000214,2003359,1637
1000077,1000247,9969
1000196,1000051,8612
1000066,1000168,6138
1000018,1000087,7165
1000014,2003364,1978
1000210,1000140,3846
1000198,2003366,5933
1000188,2003367,3335
1000074,1000203,9655
1000090,1000074,5996
1000006,1000189,1867
1000009,1000037,9979
1000119,2003372,7817
1000103,2003373,9570
1000229,1000129,9758
1000064,2003375,2720
1000191,2003376,2476
1000146,1000015,921
1000211,2003378,377
1000197,2003379,4607
1000032,1000066,3823
1000173,1000087,5053
1000179,1000235,781
1000029,2003383,8623
1000066,1000241,9725
1000041,1000240,6910
1000069,1000235,2902
1000169,1000021,1147
1000001,2003388,8399
1000106,1000120,4008
1000086,2003390,7543
1000120,1000078,2299
1000096,2003392,4669
1000228,2003393,5158
1000174,2003394,2437
1000147,1000165,3898
1000145,2003396,5632
1000107,2003397,9342
1000177,2003398,4517
1000077,1000186,7334
1000076,1000146,3693
1000119,2003401,8517
1000174,1000118,5184
1000207,1000102,7795
1000204,1000199,2836
1000170,2003405,6027
1000203,2003406,9720
1000167,2003407,6174
1000228,2003408,9229
1000012,1000011,6752
1000146,1000089,352
1000169,1000019,7326
1000123,2003412,3999
1000156,2003413,4031
1000129,2003414,493
1000035,1000131,2843
1000076,2003416,9934
1000117,2003417,4508
1000187,1000115,7324
1000012,2003419,5223
1000231,2003420,2313
1000095,1000213,3953
1000229,1000111,3509
1000009,2003423,6318
1000029,1000193,1251
1000051,1000238,1148
1000128,2003426,2336
1000089,2003427,6858
1000200,1000014,8532
1000239,1000149,4273
1000007,1000037,6856
1000163,2003431,5416
1000205,1000078,5622
1000077,1000013,399
1000054,2003434,9057
1000161,2003435,8094
1000065,1000168,6211
1000117,1000246,426
1000036,1000119,6746
1000241,1000104,1003
1000082,2003440,8723
1000151,1000216,772
1000065,2003442,6219
1000050,1000190,4122
1000072,1000183,7082
1000089,2003445,2238
1000104,1000177,9639
1000230,2003447,2005
1000109,1000024,7165
1000106,2003449,920
1000095,2003450,6024
1000187,2003451,1132
1000186,2003452,6744
1000037,1000250,9735
1000141,1000186,7878
1000056,1000032,6993
1000007,2003456,1664
1000091,2003457,8323
1000048,2003458,5088
1000003,2003459,5472
1000041,1000169,2989
1000216,1000084,1789
1000227,2003462,1093
1000090,2003463,4976
1000174,1000053,6905
1000247,1000072,6075
1000141,2003466,7038
1000113,2003467,1004
1000018,1000250,6823
1000181,2003469,7084
1000085,2003470,3343
1000084,1000150,5140
1000113,1000181,3564
1000090,1000188,6212
1000028,1000008,6979
1000183,1000179,9270
1000201,2003476,2110
1000067,2003477,8746
1000170,2003478,1803
1000016,2003479,9782
1000148,2003480,6463
1000098,1000126,5427
1000042,2003482,1538
1000005,1000023,1192
1000217,2003484,9602
1000209,1000027,3122
1000164,1000226,9139
1000057,1000186,7096
1000080,2003488,1162
1000128,2003489,416
1000180,2003490,6896
1000250,1000045,1815
1000108,2003492,9640
1000170,1000122,3915
1000229,1000167,9137
1000019,1000051,1250
1000084,1000101,7435
1000186,2003497,2553
1000033,2003498,284
1000231,2003499,8829
1000188,1000023,3433
1000140,1000056,4654
1000027,2003502,610
1000142,2003503,2553
1000207,2003504,9208
1000166,1000086,799
1000043,2003506,9182
1000028,2003507,5502
1000027,2003508,5298
1000230,1000085,2037
1000119,1000112,9080
1000111,1000005,5394
1000086,1000166,4212
1000186,1000121,5793
1000078,1000187,5422
1000149,1000066,1896
1000129,2003516,1267
1000055,2003517,5335
1000145,1000098,5182
1000125,1000084,5853
1000173,1000093,6049
1000100,1000165,449
1000204,2003522,7246
1000114,2003523,5825
1000134,2003524,4284
1000135,1000124,5836
1000194,2003526,1345
1000166,1000032,6696
1000098,1000234,909
1000196,2003529,5798
1000187,2003530,8003
1000014,1000023,108
1000173,1000235,3535
1000228,2003533,5545
1000183,2003534,4323
1000230,1000035,8798
1000050,1000107,6093
1000240,1000107,8788
1000051,2003538,1852
1000158,2003539,8594
1000229,2003540,6266
1000041,1000112,5117
1000059,1000074,8958
1000076,1000040,1066
1000158,2003544,6073
1000075,2003545,7159
1000145,2003546,4145
1000149,1000203,5669
1000120,2003548,2986
1000102,2003549,9383
1000218,2003550,7404
1000071,2003551,2751
1000120,2003552,1570
1000146,2003553,1056
1000174,1000250,5544
1000170,1000196,3531
1000161,2003556,1483
1000217,2003557,6882
1000213,1000080,8522
1000007,1000126,7408
1000165,2003560,6572
1000153,2003561,3456
1000200,2003562,5739
1000160,1000151,1018
1000195,1000070,4051
1000237,1000084,2257
1000237,1000162,4546
1000189,1000037,1544
1000247,2003568,9558
1000127,2003569,903
1000043,1000033,8312
1000128,1000123,5091
1000166,1000207,9522
1000218,1000096,970
1000203,2003574,4611
1000080,1000045,4550
1000222,2003576,5395
1000031,1000235,8944
1000156,2003578,9710
1000103,1000075,8861
1000166,2003580,4064
1000225,1000039,8148
1000069,2003582,2111
1000009,1000158,1207
1000144,1000240,9551
1000133,1000038,8307
1000115,2003586,2665
1000229,2003587,4672
1000111,2003588,3889
1000242,2003589,611
1000056,1000076,4234
1000153,1000149,8945
1000007,1000119,6742
1000182,1000241,596
1000025,1000011,312
1000010,2003595,9865
1000089,1000165,6877
1000008,2003597,3093
1000134,1000241,7478
1000193,1000122,5117
1000002,2003600,6356
1000058,2003601,3954
1000090,1000150,1761
1000025,1000219,7392
1000018,1000144,1243
1000231,2003605,517
1000213,1000168,7916
1000006,1000226,2282
1000067,1000170,8346
1000207,2003609,4932
1000098,2003610,4055
1000192,1000167,1034
1000202,1000100,5890
1000204,2003613,953
1000200,1000247,4061
1000133,2003615,8821
1000159,2003616,3936
1000177,2003617,8567
1000245,1000193,5792
1000058,1000227,765
1000089,1000045,6032
1000130,2003621,7342
1000214,2003622,4302
1000087,1000100,3092
1000163,2003624,8169
1000003,2003625,7809
1000057,2003626,694
1000108,2003627,9577
1000020,2003628,748
1000158,1000153,2782
1000007,1000037,7676
1000157,2003631,2362
1000032,2003632,8823
1000126,1000199,6347
1000174,1000102,2492
1000123,1000182,233
1000002,2003636,1666
1000143,1000211,4590
1000039,2003638,9778
1000110,1000121,1521
1000154,2003640,3163
1000122,2003641,6152
1000173,1000039,8693
1000198,2003643,8673
1000161,1000077,7171
1000065,1000050,9470
1000127,1000238,1212
1000050,2003647,454
1000205,2003648,199
1000099,2003649,3965
1000034,2003650,1309
1000195,2003651,2973
1000114,1000176,9901
1000116,1000075,4036
1000067,2003654,431
1000080,1000099,9130
1000007,1000212,4011
1000222,2003657,7858
1000050,2003658,395
1000105,1000214,5481
1000052,2003660,8508
1000149,2003661,5252
1000071,2003662,3735
1000242,1000146,5400
1000044,1000124,5403
1000112,1000228,8520
1000028,2003666,2651
1000053,1000234,8476
1000108,2003668,9288
1000112,2003669,8039
1000077,2003670,918
1000108,1000107,5921
1000186,1000127,6206
1000102,2003673,6551
1000167,1000221,3031
1000243,1000040,2428
1000143,2003676,2390
1000050,2003677,5743
1000205,2003678,3444
1000102,1000043,6290
1000194,2003680,3468
1000124,1000219,8510
1000019,1000108,5685
1000225,1000126,9178
1000159,2003684,1420
1000031,2003685,8316
1000126,2003686,4787
1000126,2003687,9343
1000227,1000121,7249
1000099,1000073,1034
1000071,2003690,4716
1000045,2003691,4644
1000073,2003692,8821
1000181,1000056,8968
1000144,1000149,3291
1000027,1000193,6021
1000128,2003696,7086
1000140,1000040,2459
1000187,2003698,1497
1000001,2003699,9030
1000074,2003700,793
1000118,1000205,8749
1000161,1000092,6423
1000037,1000078,4140
1000188,1000178,1212
1000173,1000008,6644
1000182,1000119,3697
1000002,2003707,6453
1000237,2003708,9876
1000200,2003709,7820
1000179,1000241,9014
1000161,2003711,8392
1000028,1000129,865
1000210,1000244,426
1000129,1000135,7815
1000109,2003715,2580
1000187,2003716,2090
1000191,2003717,909
1000067,1000214,4526
1000088,2003719,3326
1000070,1000084,9536
1000009,2003721,4465
1000014,1000136,5248
1000215,2003723,7656
1000180,1000012,1712
1000144,1000132,8808
1000022,1000026,4757
1000207,2003727,6391
1000013,1000226,7166
1000079,2003729,1991
1000088,2003730,3782
1000028,1000046,688
1000192,2003732,106
1000022,1000199,1476
1000196,1000090,1425
1000194,1000017,5953
1000029,2003736,105
1000201,2003737,6354
1000124,1000249,1997
1000182,1000232,8033
1000148,1000188,2322
1000239,2003741,7506
1000144,2003742,5239
1000043,1000073,7126
1000005,2003744,7837
1000098,1000112,8143
1000119,1000206,3792
1000027,1000044,1101
1000201,2003748,5417
1000174,2003749,4493
1000038,2003750,3663
1000088,2003751,1427
1000015,2003752,8478
1000214,1000137,2920
1000223,2003754,9191
1000237,1000157,5563
1000142,1000013,5781
1000167,1000173,6410
1000013,1000128,1097
1000250,2003759,5631
1000157,2003760,3852
1000106,1000232,6605
1000201,1000028,3849
1000179,2003763,6913
1000197,2003764,2095
1000070,2003765,9714
1000147,2003766,875
1000151,2003767,4185
1000058,1000033,2970
1000091,2003769,845
1000174,2003770,4663
1000177,2003771,3977
1000100,1000058,6701
1000234,1000138,8882
1000066,1000169,8824
1000215,2003775,9923
1000093,1000227,4441
1000135,2003777,885
1000181,2003778,1612
1000239,2003779,8520
1000015,2003780,3145
1000128,1000062,1862
1000070,1000213,4652
1000018,2003783,2912
1000116,1000082,4132
1000103,1000218,7943
1000233,2003786,2774
1000171,2003787,8024
1000038,1000225,6402
1000141,1000114,5270
1000101,2003790,9445
1000054,1000237,8850
1000152,1000005,9380
1000070,1000016,6312
1000110,2003794,7817
1000023,2003795,3241
1000165,2003796,6283
1000111,2003797,5705
1000050,2003798,3927
1000183,1000015,6052
1000193,2003800,3495
1000117,2003801,4056
1000048,1000240,764
1000184,2003803,6217
1000086,1000065,7062
1000131,2003805,6459
1000063,2003806,483
1000243,2003807,8157
1000019,1000129,8196
1000210,2003809,7063
1000052,2003810,7682
1000069,1000070,8370
1000018,2003812,2467
1000184,2003813,6241
1000201,2003814,3709
1000078,2003815,9969
1000212,1000151,6301
1000111,1000160,9887
1000089,2003818,921
1000032,2003819,9151
1000052,2003820,6140
1000041,1000230,7441
1000233,1000044,5068
1000116,2003823,6165
1000036,1000175,4922
1000092,2003825,1523
1000243,1000024,7696
1000023,1000071,3292
1000028,2003828,2340
1000193,1000208,6421
1000042,1000030,2550
1000141,2003831,1116
1000186,1000114,8187
1000218,2003833,2451
1000052,1000118,9931
1000078,2003835,4908
1000107,1000237,447
1000080,2003837,8574
1000173,2003838,8267
1000134,1000066,5707
1000148,1000161,9391
1000129,1000046,6878
1000027,1000195,8166
1000029,2003843,6402
1000113,1000149,3687
1000001,2003845,6237
1000026,2003846,6101
1000240,1000020,633
1000015,1000007,7887
1000213,2003849,5998
1000050,2003850,339
1000166,2003851,9733
1000178,1000072,2777
1000113,2003853,9021
1000247,1000176,9662
1000080,2003855,9893
1000016,1000022,6022
1000072,2003857,9855
1000062,2003858,6073
1000126,2003859,145
1000021,2003860,4213
1000142,2003861,4337
1000229,1000159,3167
1000066,2003863,1036
1000058,1000186,2827
1000191,1000190,4482
1000174,2003866,8467
1000177,2003867,9200
1000190,2003868,1552
1000080,1000102,8909
1000172,1000039,3420
1000184,2003871,9249
1000113,2003872,107
1000127,1000180,5726
1000165,1000068,5600
1000216,1000199,3413
1000008,2003876,3258
1000215,2003877,295
1000025,2003878,6803
1000008,1000110,174
1000140,1000033,4916
1000175,2003881,9027
1000154,1000110,9710
1000200,1000134,4684
1000075,1000182,4122
1000010,1000177,6381
1000018,2003886,9925
1000140,1000035,7648
1000216,2003888,9664
1000208,1000238,9205
1000150,1000091,7611
1000118,1000088,8371
1000073,2003892,633
1000130,2003893,1746
1000110,1000023,1515
1000117,2003895,8755
1000088,2003896,1147
1000053,2003897,9483
1000246,2003898,5780
1000057,2003899,7595
1000242,1000144,578
1000059,2003901,3326
1000107,1000107,6805
1000122,2003903,3248
1000173,2003904,8202
1000109,1000032,7652
1000189,1000015,2306
1000134,2003907,4433
1000087,2003908,9819
1000112,2003909,2152
1000128,2003910,3112
1000132,2003911,9459
1000091,1000114,6862
1000243,1000176,1832
1000043,2003914,9253
1000222,2003915,7844
1000021,1000035,9181
1000006,1000224,3474
1000235,1000158,1364
1000168,1000197,6656
1000061,2003920,8447
1000048,2003921,6752
1000048,1000139,7893
1000214,1000013,1924
1000006,2003924,1786
1000187,1000200,3714
1000060,1000243,7429
1000178,2003927,7456
1000151,2003928,5448
1000060,2003929,3190
1000124,1000009,1212
1000239,1000207,3293
1000174,2003932,761
1000100,1000137,8794
1000073,1000191,4725
1000243,1000235,8119
1000127,2003936,9163
1000248,2003937,5333
1000228,2003938,489
1000067,2003939,167
1000133,2003940,4692
1000091,1000042,1352
1000006,2003942,5236
1000110,1000165,4963
1000009,2003944,586
1000173,1000051,9145
1000176,1000154,8722
1000154,1000096,6621
1000058,1000072,8226
1000195,2003949,813
1000047,2003950,5153
1000177,1000226,7548
1000102,2003952,5848
1000124,1000203,5386
1000248,2003954,1554
1000195,2003955,6988
1000210,1000194,4040
1000174,1000249,6413
1000187,2003958,3964
1000166,2003959,543
1000017,2003960,2534
1000142,1000059,4854
1000127,1000246,8299
1000030,2003963,8008
1000207,1000027,9824
1000076,2003965,9720
1000016,1000115,836
1000222,1000019,3319
1000194,1000034,594
1000014,1000136,7869
1000091,1000164,9354
1000095,2003971,3383
1000087,2003972,5714
1000164,2003973,7459
1000219,2003974,8962
1000210,2003975,6454
1000118,2003976,4156
1000232,2003977,1104
1000220,2003978,9470
1000054,2003979,158
1000093,1000177,1021
1000196,2003981,1563
1000014,2003982,1598
1000141,1000209,9119
1000014,2003984,6818
1000129,2003985,2110
1000126,1000159,5834
1000103,1000222,4950
1000223,2003988,6460
1000232,1000190,993
1000090,2003990,221
1000068,2003991,7341
1000243,1000108,9788
1000100,2003993,7831
1000248,2003994,1140
1000132,1000175,4181
1000003,1000074,3686
1000118,1000055,8230
1000015,2003998,2231
1000043,1000186,7771
1000097,1000220,7632
1000164,1000003,6948
1000187,1000128,7599
1000087,2004003,7709
1000180,2004004,362
1000226,2004005,2481
1000043,2004006,5121
1000072,1000233,3741
1000055,1000019,1813
1000098,1000049,8971
1000120,2004010,3516
1000063,2004011,7436
1000050,1000115,100
1000199,2004013,6389
1000056,1000114,7595
1000083,1000176,8941
1000220,1000231,9135
1000214,2004017,4055
1000132,1000002,6632
1000071,1000105,5199
1000033,1000212,2893
1000107,2004021,6249
1000128,1000117,8823
1000191,1000186,2603
1000131,2004024,7664
1000105,1000208,7085
1000109,2004026,2983
1000001,1000089,3452
1000178,1000143,1250
1000136,1000040,6400
1000163,2004030,1439
1000011,1000151,5441
1000081,1000110,2157
1000015,1000187,5459
1000222,1000160,5152
1000013,2004035,3851
1000172,2004036,3672
1000007,1000166,2247
1000204,2004038,8860
1000020,2004039,9865
1000106,1000101,7152
1000007,1000146,7425
1000030,1000060,9566
1000133,2004043,1187
1000145,2004044,7025
1000087,1000073,212
1000009,1000131,8296
1000040,1000118,4921
1000052,1000141,3115
1000250,2004049,3582
1000133,1000043,1309
1000021,2004051,9244
1000057,2004052,9657
1000235,2004053,1970
1000170,2004054,7601
1000127,1000046,2666
1000008,1000158,1205
1000166,1000043,3716
1000044,1000143,3090
1000012,1000094,6006
1000070,1000028,1887
1000026,1000137,354
1000187,2004062,8232
1000177,1000002,555
1000104,2004064,2969
1000156,1000034,2395
1000039,1000178,7186
1000064,2004067,7180
1000097,2004068,2486
1000133,2004069,8256
1000178,1000005,5844
1000117,2004071,343
1000117,1000231,1230
1000240,2004073,5297
1000001,2004074,6188
1000079,1000021,6983
1000013,2004076,704
1000071,1000180,5027
1000046,1000138,4903
1000191,2004079,992
1000184,2004080,6074
1000003,2004081,5406
1000041,1000241,7401
1000052,1000236,8513
1000243,1000111,4059
1000068,1000157,3181
1000118,1000110,7783
1000194,2004087,8403
1000026,2004088,1284
1000090,1000111,6991
1000015,1000196,6861
1000216,2004091,4220
1000107,2004092,4081
1000104,2004093,3970
1000172,1000098,9794
1000154,1000175,8240
1000174,1000095,6021
1000089,1000077,9414
1000031,2004098,6987
1000226,2004099,391
1000041,1000249,8844
1000010,2004101,4141
1000198,2004102,5437
1000058,2004103,366
1000156,2004104,8045
1000185,2004105,9605
1000015,2004106,6908
1000036,1000161,1429
1000108,1000115,9107
1000193,1000107,1037
1000161,1000130,5832
1000148,1000113,1325
1000061,2004112,2472
1000160,2004113,3384
1000010,1000119,6756
1000233,2004115,1284
1000101,2004116,3568
1000237,2004117,9458
1000113,2004118,2902
1000153,1000250,6863
1000237,2004120,6829
1000022,1000151,6537
1000168,2004122,930
1000193,1000165,5380
1000054,1000015,8423
1000205,1000142,3113
1000030,2004126,3031
1000049,1000081,3978
1000041,1000091,253
1000232,2004129,5812
1000220,2004130,3167
1000097,1000137,5428
1000139,2004132,8199
1000135,1000236,6798
1000081,1000225,8811
1000138,2004135,5989
